program,f01_totalBasicBlocks,f02_oneSuccessor,f03_twoSuccessor,f04_greaterTwoSuccessor,f05_onePredecessor,f06_twoPredecessor,f07_greaterTwoPredecessor,f08_onePredSuc,f09_onePred_twoSuc,f10_twoPred_oneSuc,f11_twoPredSuc,f12_greaterTwoPredSuc,f13_instructionLess15,f14_instructionInterval,f15_instructionGreater500,f16_numOfEdges,f17_numOfCriticalEdges,f18_abnormalEdge,f19_directCalls,f20_condBranch,f21_assigmentInstructions,f22_uncondBranch,f23_numOfIntOperations,f24_numOfFloatOperations,f25_numInstructions,f26_instructionAverage,f27_averagePhi,f28_averagePhiArgs,f29_blockWithoutPhi,f30_blockPhiIntervalNodes,f31_blockPhiGreater3Nodes,f32_blocksPhiGreater5Arg,f33_blocksPhiIntervalArg,f34_numOfSwitchInstruction,f35_numOfUnaryOperations,f36_ptrArithmetic,f37_indirectRefs,f38_addresVar,f39_addressFunction,f40_indirectCalls,f41_leftOpIntConst,f42_oneOperandConst,f43_callArgPtrType,f44_call4args,f45_ptrRetCallType,f46_intRetCallType,f47_constInt0,f48_constInt32bits,f49_constInt1,f50_constInt64bits,f51_numRefeOfLocalVar,f52_defUseCounter,f53_refLocalVariable,f54_refExterVariable,f55_localPtrVar,f56_staticPtrVar
600.perlbench_s,74676,28456,42403,1727,47099,17994,7541,21498,24488,4844,11863,122,72018,2655,3,123670,48115,0,29291,42403,273141,28456,41093,159,383833,12725.22703,487.13523,4888.090797,59409,73913,763,3207,12060,1727,22,0,9390,7741,68,384,2992,30805,23949,1948,10267,6987,64159,91186,20367,68675,419018,24415,270123,11767,113186,10330
519.lbm_r,104,41,42,1,52,35,2,21,16,11,21,0,92,12,0,128,35,0,173,42,1662,41,320,421,1907,339.606273,5.407575,20.357143,80,102,2,2,22,1,8,0,8,6,0,0,26,294,76,4,4,28,92,71,81,458,2473,40,1640,23,318,21
538.imagick_r,33306,12763,18911,490,19225,10186,2873,9930,8946,2012,7571,64,31469,1836,1,53838,21850,0,26059,18911,152649,12763,13432,7917,203381,6015.311712,246.479581,2049.08574,25073,32696,610,1881,6352,490,374,0,3721,3504,32,197,2496,9749,20005,2885,8748,7838,31652,31430,13420,45382,240247,9348,146267,5034,47585,402
520.omnetpp_r,48401,16867,22522,696,28506,11010,3527,13404,12035,2502,5817,14,47110,1291,0,65532,20159,6169,27467,16353,133073,16867,5892,375,212559,23968.11669,606.03865,6240.944393,41411,48243,158,685,6305,696,13,0,6288,4718,2,6590,2410,3782,23461,512,7683,6789,32950,34829,12587,45436,202751,12964,129275,8322,77047,1635
625.x264_s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544.nab_r,3346,1241,1926,78,1830,1111,331,904,882,255,769,10,3179,167,0,5464,2393,0,1677,1926,13726,1241,2076,452,19031,422.935173,25.882353,144.386997,2494,3297,49,191,661,78,58,0,530,261,0,5,239,1574,962,97,328,605,2527,3310,1046,3072,21863,1204,13341,334,4265,407
644.nab_s,3346,1241,1926,78,1830,1111,331,904,882,255,769,10,3179,167,0,5464,2393,0,1677,1926,13726,1241,2076,452,19031,422.935173,25.882353,144.386997,2494,3297,49,191,661,78,58,0,530,261,0,5,239,1574,962,97,328,605,2527,3310,1046,3072,21863,1204,13341,334,4265,407
638.imagick_s,33306,12763,18911,490,19225,10186,2873,9930,8946,2012,7571,64,31469,1836,1,53838,21850,0,26059,18911,152649,12763,13432,7917,203381,6015.311712,246.479581,2049.08574,25073,32696,610,1881,6352,490,374,0,3721,3504,32,197,2496,9749,20005,2885,8748,7838,31652,31430,13420,45382,240247,9348,146267,5034,47585,402
523.xalancbmk_r,118118,32552,64941,751,68220,30401,8752,23506,35499,6510,19629,36,112675,5443,0,166214,65442,18673,40277,46268,414777,32552,31439,173,608565,50490.57534,1335.295254,10069.46935,95136,117969,149,3541,19441,751,1,0,24863,17512,0,13567,6556,24095,36921,1360,11571,5731,102800,104854,40935,139240,620810,14490,411718,7547,241929,1531
531.deepsjeng_r,2157,774,1257,37,1302,542,225,633,640,92,415,2,1975,182,0,3449,1373,0,868,1257,11012,774,3032,24,14369,774.325337,20.350956,168.87442,1615,2132,25,100,442,37,0,0,1,1,0,0,217,1689,597,93,14,510,2814,3615,766,3157,16311,832,10969,343,1879,4
500.perlbench_r,74676,28456,42403,1727,47099,17994,7541,21498,24488,4844,11863,122,72018,2655,3,123670,48115,0,29291,42403,273141,28456,41093,159,383833,12725.22703,487.13523,4888.090797,59409,73913,763,3207,12060,1727,22,0,9390,7741,68,384,2992,30805,23949,1948,10267,6987,64159,91186,20367,68675,419018,24415,270123,11767,113186,10330
502.gcc_r,294285,94284,180238,8533,176965,75942,30329,69107,104154,17671,51782,1301,287171,7108,6,522786,251537,0,156241,180238,1011760,94284,116075,102,1423172,70399.95728,2191.894203,23946.73659,238555,292369,1916,9385,46345,8533,1,0,32468,26061,238,3325,12023,95376,138898,7477,45986,56973,271557,451048,123655,234535,1402919,115928,998436,38248,394679,23554
508.namd_r,18174,6594,11216,201,9863,5368,2821,5111,4650,428,4764,1,15332,2842,0,29886,13429,112,7559,11104,148160,6594,23265,7877,178579,1111.781297,74.341869,238.203805,11296,16993,1181,2358,4520,201,134,0,1530,1383,86,14,3585,18807,2457,275,773,1009,21511,22498,14701,34813,245199,2083,148049,1293,41046,571
505.mcf_r,719,202,486,2,380,225,87,130,247,37,175,0,654,65,0,1181,599,0,197,486,3489,202,688,2,4730,181.178584,10.58724,53.586677,484,706,13,81,154,2,0,0,118,106,0,25,94,393,136,7,22,135,578,478,314,1300,6119,68,3446,44,1228,17
